Run,TP,Code,StaticRingPressure_PSI,StaticRingPressure_PSI_STD,PitotProbePressure_PSI,PitotProbePressure_PSI_STD,Temperature_K,Temperature_K_STD,Pressure_PSI,Pressure_PSI_STD,RelativeHumidity_Percent,RelativeHumidity_Percent_STD,EnvSamples,Alpha_Deg,Alpha_Deg_STD,Frequency_Hz,X_N,X_N_STD,Y_N,Y_N_STD,Z_N,Z_N_STD,XM,XM_STD,YM,YM_STD,ZM,ZM_STD,Q_V,Q_V_STD,ScanLength,RPM,DateTime,Alpha_Nom_Deg,A_V,fe_Hz,A_Nom_V
653,1,1,4.06250137530151e-06,5.83333530812524e-06,3.31249921146082e-05,4.67176070475721e-06,296.074904028575,0.0114455158687705,14.513035595417,5.98246435023649e-05,54.9297580718994,0.00262139995932112,64,-0.0443720102310294,0.000120294265633404,2000,-2.82923868141351,0.00620297619095363,1.1808566362639,0.00686318113060602,-8.00806013832111,0.0170829221975487,0.0443874168913611,0.000857145946127267,-0.0847248150339138,0.000498184572854181,-0.0927077353572493,0.000301951392810043,2.78621526931102,0.00286076727733928,20000,0,17-Jun-2024 12:39:09,0,0,0,0
653,2,0,0.000533943687578742,6.86167888882674e-06,0.000362253501522683,4.20788556699519e-06,296.312231564708,0.0131796688793441,14.5120121996168,4.03137609657934e-05,54.4639301568689,0.00154570625027601,71,-0.0500054802693225,0.000172040892067448,2000,-2.85053999446886,0.00651724766240375,1.18091014713829,0.00844395206226269,-8.00239943938463,0.0172531077116401,0.0419236342573798,0.00297048609579127,-0.104681583780891,0.00085082151339016,-0.0977094499775485,0.000738875629330195,2.87429564664196,0.00293164941357521,20000,94.6961015659871,17-Jun-2024 12:46:29,0,0,0,0
653,3,0,0.000547325597307103,6.93233559398429e-06,0.000366860453775802,5.37131200864679e-06,296.31306259589,0.00839987365023073,14.5119016669517,5.11345275812201e-05,54.3431228815123,0.00372225403501073,86,0.906863935603651,0.000367504137877016,2000,-2.85008133742096,0.00669138663580418,1.24100710194293,0.00850340264836478,-8.00812578191304,0.0176470362699898,-0.00889246787851197,0.00348766637517915,-0.106339789788447,0.000775829230873759,-0.0988606099953834,0.000594343643234059,2.87502673087963,0.00299842160064969,20000,94.6961015659871,17-Jun-2024 12:47:07,1,0,0,0
653,4,0,0.000551320761793627,6.51558171429265e-06,0.000363773568028162,4.89365265158735e-06,296.35423374136,0.0277357246717988,14.5122889392781,3.52520593452965e-05,54.3431094907365,0.00312371537264934,53,1.91470181447155,0.00025945697172887,2000,-2.85036926920427,0.00674830810519474,1.30192496389533,0.0088394075192718,-8.01413986643422,0.0175869469836597,-0.0594526745436819,0.00410677616373447,-0.106699816472922,0.000715025726762945,-0.0996040116005189,0.000494201408038605,2.87479940164737,0.00294975548053799,20000,94.6961015659871,17-Jun-2024 12:47:53,2,0,0,0
653,5,0,0.000541176491156768,8.72966585262517e-06,0.000361911744488787,3.96152081520192e-06,296.356230113709,0.0272803888211597,14.5123697028441,4.87769661372256e-05,54.3429845922133,0.00329733441966403,68,2.9200309529024,0.00025345396494394,2000,-2.84771399434213,0.00663748190206697,1.38018595811692,0.00921250931980866,-8.02099215340873,0.0176005637682702,-0.126040705733466,0.0049202909797859,-0.106319845714453,0.000901373446017303,-0.101389937811614,0.000645732893887864,2.87458658553411,0.00297238984750174,20000,94.6961015659871,17-Jun-2024 12:48:32,3,0,0,0
653,6,0,0.000546727291393009,9.63298927550189e-06,0.000364363623719493,6.01345599408722e-06,296.360463398635,0.0243664193224156,14.5134115565907,2.58399424563689e-05,54.2625884316184,0.0527655492784408,55,3.9042499889027,7.86840420859141e-05,2000,-2.84425185206634,0.00670700043142127,1.45449256988999,0.0105941903046845,-8.02544779956898,0.0174427406591328,-0.190577201222042,0.00476924207609949,-0.104734231597137,0.000786400415322835,-0.103054156924915,0.00296135098618597,2.87490725940571,0.00300926132108908,20000,94.6961015659871,17-Jun-2024 12:50:11,4,0,0,0
653,7,0,0.00055254238038087,6.84639983428706e-06,0.000366101682213751,4.91899005808669e-06,296.371396897023,0.0107695863650592,14.5135386353832,5.4496300578202e-05,54.2281081636073,0.00299118271961,59,4.90007091457561,0.000170099183097786,2000,-2.83699246649975,0.00720691169816238,1.52181662532743,0.012787878481571,-8.03034514770064,0.0176902837765232,-0.247137631199333,0.00701520958869002,-0.101716148392054,0.0017538900199081,-0.104463817273921,0.00380561512787599,2.87535275253716,0.00297011448474259,20000,94.6961015659871,17-Jun-2024 12:51:30,5,0,0,0
653,8,0,0.000549104492138348,7.53402260706649e-06,0.000364328342326569,4.99208770921373e-06,296.372607095443,0.00538380550131981,14.5140274958824,6.94224117107376e-05,54.2278707703548,0.00270044655779406,67,5.90756052501166,0.000385111758517771,2000,-2.83416364310819,0.00754775004293819,1.56892077460176,0.0198217694489605,-8.02768999894959,0.0177334568833026,-0.285355860436235,0.0136443071120995,-0.0977989536975828,0.00178695588700844,-0.105046094487376,0.00585537571666315,2.87570591582016,0.00293647322461955,20000,94.6961015659871,17-Jun-2024 12:52:09,6,0,0,0
653,9,0,0.000555468758648203,6.64991215222347e-06,0.000369062492609373,5.83334379674246e-06,296.372114178869,0.0078231737924041,14.5131209641695,0.000100986182120304,54.2279081344604,0.00240002773134573,64,6.90291411876679,0.000158097638571669,2000,-2.82778867998242,0.00764468613009666,1.60575316922289,0.0132452027836772,-8.03169518144767,0.0176934984903579,-0.319706301344319,0.00848396136364203,-0.0940111112297885,0.00277042271818567,-0.105746213480628,0.00114609093101825,2.87552173935603,0.00296838462007743,20000,94.6961015659871,17-Jun-2024 12:55:01,7,0,0,0
653,10,0,0.000546538472497979,4.8038252688839e-06,0.00036365382906157,4.86236760778572e-06,296.372361752111,0.00797319864775333,14.5133720911466,5.40433764390496e-05,54.1526770958534,0.0547715479100419,52,7.88673559335562,0.00020000326356198,2000,-2.78654603659821,0.00927272797598175,1.83672537565584,0.0149979145468635,-8.04537404817508,0.017642527866096,-0.51702334197728,0.00955430806411199,-0.063253542751102,0.00354369901245986,-0.107681677314389,0.00338960513147622,2.87574599200087,0.00300545591043878,20000,94.6961015659871,17-Jun-2024 12:56:21,8,0,0,0
