Run,TP,Code,StaticRingPressure_PSI,PitotProbePressure_PSI,Temperature_K,Pressure_PSI,RelativeHumidity_Percent,Alpha_Deg,DateTime
757,2,0,-5.99999984842725e-05,0.000189999962458387,294.14496629503,14.5586204528809,41.5840072631836,-0.0182202148437227,15-Nov-2024 13:06:07
757,2,0,-5.99999984842725e-05,0.000189999962458387,294.14496629503,14.5586204528809,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:07
757,2,0,-5.99999984842725e-05,0.000189999962458387,294.152595689562,14.5586204528809,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:07
757,2,0,-5.99999984842725e-05,0.000189999962458387,294.152595689562,14.5586395263672,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:07
757,2,0,-7.999999797903e-05,0.000189999962458387,294.14496629503,14.5586395263672,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:07
757,2,0,-7.999999797903e-05,0.000189999962458387,294.14496629503,14.5586395263672,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-7.999999797903e-05,0.000189999962458387,294.14496629503,14.5586395263672,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-7.999999797903e-05,0.000189999962458387,294.14496629503,14.5586099624634,41.5916366577148,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-7.999999797903e-05,0.000189999962458387,294.106810845269,14.5586099624634,41.6679382324219,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-7.999999797903e-05,0.000189999962458387,294.152595689562,14.5586099624634,41.6984596252441,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-7.999999797903e-05,0.000189999962458387,294.152595689562,14.5586099624634,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-9.00000013643876e-05,0.000180000002728775,294.14496629503,14.5585699081421,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-9.00000013643876e-05,0.000180000002728775,294.14496629503,14.5585699081421,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:08
757,2,0,-9.00000013643876e-05,0.000180000002728775,294.14496629503,14.5585699081421,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.00000013643876e-05,0.000180000002728775,294.152595689562,14.5585699081421,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.00000013643876e-05,0.000169999984791502,294.14496629503,14.5585803985596,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.00000013643876e-05,0.000169999984791502,294.129707505968,14.5585803985596,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.00000013643876e-05,0.000169999984791502,294.14496629503,14.5585803985596,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.00000013643876e-05,0.000169999984791502,294.14496629503,14.5585803985596,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.99999974737875e-05,0.000169999984791502,294.14496629503,14.558500289917,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.99999974737875e-05,0.000169999984791502,294.14496629503,14.558500289917,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:09
757,2,0,-9.99999974737875e-05,0.000169999984791502,294.14496629503,14.558500289917,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-9.99999974737875e-05,0.000169999984791502,294.14496629503,14.558500289917,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000169999984791502,294.152595689562,14.5583801269531,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000169999984791502,294.160225084093,14.5583801269531,41.7137184143066,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000169999984791502,294.14496629503,14.5583801269531,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000169999984791502,294.152595689562,14.5583801269531,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000180000002728775,294.14496629503,14.5583400726318,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:10
757,2,0,-0.000109999993583187,0.000180000002728775,294.14496629503,14.5583400726318,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.14496629503,14.5583400726318,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.14496629503,14.5583000183105,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.14496629503,14.5583000183105,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.152595689562,14.5583000183105,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.152595689562,14.5583000183105,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-0.000109999993583187,0.000180000002728775,294.152595689562,14.5582504272461,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
757,2,0,-9.99999974737875e-05,0.000169999984791502,294.152595689562,14.5582504272461,41.7060890197754,-0.0182202148437227,15-Nov-2024 13:06:11
